Complaint,DateOccur,Crime,crimeCat,Description,ILEADSAddress,ILEADSStreet,XCoord,YCoord,xyStatus
16-000629,01/04/2016 20:30,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,3638,MONTANA ST,892770.7,1001303,FALSE
16-000634,01/04/2016 21:42,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1401,CHOUTEAU AVE,904521.8,1014630,FALSE
16-000645,01/04/2016 23:35,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3933,S BROADWAY,897890.5,1001421,FALSE
16-000641,01/04/2016 23:40,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1951,PRESIDENT ST,899987.9,1004009,FALSE
16-000651,01/05/2016 05:01,41016,Aggravated Assault,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,3425,TENNESSEE AVE,894289.6,1005332,FALSE
16-000687,01/05/2016 10:00,36111,Robbery,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,5610,DR MARTIN LUTHER KING DR,883967.8,1032930,FALSE
16-000701,01/05/2016 11:50,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,5700,ERA AVE,890084.1,1047353,FALSE
16-000715,01/05/2016 12:05,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,8847,N BROADWAY,897651.6,1053007,FALSE
16-000716,01/05/2016 13:05,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4015,ST LOUIS AVE,897532.3,1029149,FALSE
16-000721,01/05/2016 14:15,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5500,GRANT ST,900495.4,1035434,FALSE
16-000721,01/05/2016 14:15,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5500,GRANT ST,900495.4,1035434,FALSE
16-000768,01/05/2016 18:10,43012,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,8847,N BROADWAY,897651.6,1053007,FALSE
16-000781,01/05/2016 18:50,23000,Forcible Rape,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,3700,LINDELL BLVD,0,0,TRUE
16-002368,01/05/2016 22:45,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,0,N GRAND BLVD / N MARKET ST,899069,1026100,FALSE
16-000801,01/06/2016 00:10,42014,Aggravated Assault,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,1113,KENTUCKY AVE,890767.9,1017285,FALSE
16-000801,01/06/2016 00:10,42011,Aggravated Assault,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,1113,KENTUCKY AVE,890767.9,1017285,FALSE
16-015999,01/06/2016 01:30,21000,Forcible Rape,RAPE -- FORCIBLE,4400,CHOUTEAU AVE,0,0,TRUE
16-000813,01/06/2016 05:30,36111,Robbery,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,7339,GRAVOIS AVE,878828.2,994423.4,FALSE
16-000817,01/06/2016 06:30,43012,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,1019,PINE ST,907166.1,1017926,FALSE
16-000850,01/06/2016 08:25,44016,Aggravated Assault,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,5454,SHREVE AVE,896198.1,1038684,FALSE
16-000869,01/06/2016 12:00,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2008,GRAVOIS AVE,900904.3,1010018,FALSE
16-000890,01/06/2016 12:54,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,5619,RIVERVIEW BLVD,891530.9,1046185,FALSE
16-000913,01/06/2016 14:45,42012,Aggravated Assault,AGG.ASSAULT-KNIFE/CITIZEN ADULT 2ND DEGREE,1933,BENTON ST,905021.8,1025124,FALSE
16-000933,01/06/2016 16:43,36111,Robbery,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,4341,NATURAL BRIDGE AVE,895761.7,1032844,FALSE
16-000948,01/06/2016 18:30,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4535,MARYLAND AVE,889150.6,1023629,FALSE
16-000961,01/06/2016 18:40,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4504,S GRAND BLVD,892688.3,999179.5,FALSE
16-000949,01/06/2016 18:54,36422,Robbery,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS,5612,S GRAND BLVD,890383.1,995729.9,FALSE
16-000952,01/06/2016 19:45,36111,Robbery,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,1919,S JEFFERSON AVE,899651.5,1011937,FALSE
16-000977,01/06/2016 23:10,41013,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1314,PARK AVE,904368.1,1013039,FALSE
16-000983,01/07/2016 01:19,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,8880,N BROADWAY,897929.1,1053370,FALSE
16-001012,01/07/2016 07:55,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4038,LINCOLN AVE,896738.7,1028302,FALSE
16-001035,01/07/2016 09:20,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3155,LAMBDIN AVE,896016.3,1031266,FALSE
